,Question,Answer
0,True or False Magnolia grandiflora is evergreen.,True.
1,True or False Pacific yew has a rapid growth rate.,True.
2,True or False Platanus occidentalis is native to the east coast.,True.
3,"True or False The cones red spruce are quite long, between 6 and 8” in length",True.
4,True or False Douglas-fir is not a true fir,True.
5,True or False Red pine is considered a hard pine,True.
6,True or False The branches of northern white-cedar can take root if the tree falls,True.
7,True or False Abies grandis is native to the southeastern United States,True.
8,True or False Pinus resinosa is native along the Gulf coast,True.
9,True or False Larix laricina is an evergreen conifer.,True.
10,True or False Sweetgum is the most common and widely distributed tree in the Mississippi delta,True.
11,True or False The twigs of slippery elm are thinner than those of American elm,True.
12,True or False Quercus rubra is the most important and widespread of northern oaks,True.
13,True or False White spruce is intolerant of shade,True.
14,True or False The needles of baldcypress are two-ranked,True.
15,"True or False Southern magnolia is a nonnative, invasive species in the southeastern U.S",True.
16,True or False The timber of black oak is sold as red oak.,True.
17,True or False Thuja plicata is native to West Virginia and Pennsylvania,True.
18,True or False The fruit of bur oak has a fringed cap,True.
19,True or False Yellow birch has a terminal bud,True.
20,True or False Redwood grows in the fog belt,True.
21,True or False Betula papyrifera is the most widely distributed of the native birches.,True.
22,True or False Red alder is native to Guatemala,True.
23,True or False Magnolia acuminata is deciduous,True.
24,True or False The twigs of quaking aspen are grey in color,True.
25,True or False Virginia pine is used for reclamation,True.
26,True or False The cones of Thuja plicata hang downwards,True.
27,True or False The cones of Abies point upward,True.
28,True or False The firs discussed in lecture are commonly seen growing in the forests of West Virginia,True.
29,True or False The timber of Tsuga heterophylla is sold as “hem/spruce”,True.
30,,N/A
31,"The fruits of eastern Tsuga heterophylla are: A. small purple berries, B. blue colored berries, C. red drupes, D. light brown colored cones",True.
32,"The fruits of Paulownia tomentosa: A. are woody capsules, B. are orange berries, C. are small cones, D. are blue drupes.",True.
33,"The bark of western redcedar: A. is deeply ridged and furrowed, B. is fibrous, C. is smooth and shiny, D. is covered in resin blisters.",True.
34,"Incense-cedar: A. has duck bill like cones, B. is native to the northeastern U.S., C. has small upward facing cones, D. has glaucous, purplish cones.",True.
35,"Which of the following species is NOT in the Pinaceae family?  A. Taxus brevifolia, B. Tsuga heterophylla, C. Larix laricina, D. Abies procera.",True.
36,"Bush honeysuckles: A. are ok to leave growing on lands that you manage, B. are native to South America, C. have opposite leaves, D. have fruits that are small legumes",True.
37,"Loblolly pine: A. is a small pine native to Central Appalachia, B. has a slow growth rate, C. is considered a soft pine, D. is the leading commercial timber tree in the southeast.",True.
38,"Pacific yew:  A. has needles that are in fascicles of 2, B. is a large sized tree, reaching heights of 100 to 130 feet, C. prefers dry sites, D. is a source of Taxol for chemotherapy",True.
39,"Incense-cedar is in the ______ genus: A. Tsuga, B. Calocedrus, C. Thuja, D. Juniperus.",True.
40,"The bark of redwood: A. is smooth and gray, B. is white and deeply furrowed, C. fibrous and up to 1 foot thick, D. covered in corky warts and ridges.",True.
41,"The fruit of Liquidambar styraciflua: A. is a head of strongly beaked capsules, B. a brown berry, C. a yellowish brown cone, D. an aggregate of samaras",True.
42,"The cones of giant sequoia: A. are 8” to 12” in length, B. have peltate scales, C. are bright yellow in color, D. have a blue aril surrounding the seed",True.
43,"Which of the following species is in the Fagaceae family?: A. Alnus rubra, B. Ostrya virginiana, C. Lithocarpus densiflorus, D. Tilia Americana",True.
44,"The fruit of ginkgo: A. has a foul odor when ripe, B. is a large brown cone, C. is a yellow berry, D. has peltate scales",True.
45,"The fruit of American sycamore: A. is a woody capsule, B. is a fused, aggregate of achenes, C. is a brown berry, D. is an aggregate of samaras.",True.
46,"Calocedrus decurrens: A. is native to swamps in the southeastern U.S., B. has a pinnately compound leaf, C. is native to the western U.S., D. is native to the Great Lakes states",True.
47,"Yellow-poplar: A. has a rapid growth rate, B. is very tolerant of shade, C. has a very slow growth rate, D. is in the Salicaceae family.",True.
48,"The genus Abies is in the: A. the Cupressaceae family, B. the Taxodiaceae family, C. Abeaceae family, D. Pinaceae family",True.
49,"Taxus brevifolia: A. is native to the mountains of West Virginia, B. is native to the state of Texas, C. is native to the Pacific northwest, D. is native to the Canadian province of New Brunswick.",True.
50,"Pecan: A. is a species of hickory, B. is in the Fagaceae family, C. is in the Betulaceae family, D. is native primarily to the northeastern United States.",True.
51,,N/A
52,,N/A
53,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Willow Oak  B. Seed of Pecific Yew C. Sequoiadendron giganteum D.Carya Cordiformis E. 3 years in grass stage Question to match: Scarlet aril,True.
54,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Willow Oak  B. Seed of Pecific Yew C. Sequoiadendron giganteum D.Carya Cordiformis E. 3 years in grass stage Question to match: Mustard yellow buds,True.
55,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Willow Oak  B. Seed of Pecific Yew C. Sequoiadendron giganteum D.Carya Cordiformis E. 3 years in grass stage Question to match: Pinus Plaustris,True.
56,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Willow Oak  B. Seed of Pecific Yew C. Sequoiadendron giganteum D.Carya Cordiformis E. 3 years in grass stage Question to match: Quercus Phellos,True.
57,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Willow Oak  B. Seed of Pecific Yew C. Sequoiadendron giganteum D.Carya Cordiformis E. 3 years in grass stage Question to match: World's laregst tree,True.
58,,N/A
59,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Rhus Tyhina B. Sassafras Albidum C. Cypress Knee D. Most important commerical Timeber Tree in Canada E. Wa 'kaulua Question to match: Taxodium distichum,True.
60,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Rhus Tyhina B. Sassafras Albidum C. Cypress Knee D. Most important commerical Timeber Tree in Canada E. Wa 'kaulua Question to match: Staghorn Sumac,True.
61,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Rhus Tyhina B. Sassafras Albidum C. Cypress Knee D. Most important commerical Timeber Tree in Canada E. Wa 'kaulua Question to match: Safrole,True.
62,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Rhus Tyhina B. Sassafras Albidum C. Cypress Knee D. Most important commerical Timeber Tree in Canada E. Wa 'kaulua Question to match: Douglas-fir,True.
63,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Rhus Tyhina B. Sassafras Albidum C. Cypress Knee D. Most important commerical Timeber Tree in Canada E. Wa 'kaulua Question to match: White spruce,True.
64,,N/A
65,,N/A
66,,N/A
67,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: Red Spruce",True.
68,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: redwood",True.
69,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: White Oak group",True.
70,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: Yellow-poplar",True.
71,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: northern white-cedar",True.
72,,N/A
73,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer:  American Sycamore",True.
74,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Paulownia tomentosa",True.
75,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Betulaceae family",True.
76,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Alnus Rubra",True.
77,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Calocedrus decurrens",True.
78,,N/A
79,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Once used for makin gbaskets,True.
80,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: pinus Taeda,True.
81,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Larix occidentalis,True.
82,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Abies,True.
83,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Pilus elliottii,True.
84,,N/A
85,"Fill in the blank: In lecture, one tree that survived a nuclear bomb blast and consequent radiation poisoning was discussed. This tree is a ___________ (give the common or scientific name of the species). In which country is this tree located? _________",True.
86,Fill in the blank: People from Islands of ____________ made W’akaulua using drift wood from ________ __________ species (given the scientific name).,True.
